Código,Valor (R$),Validade,Informação Faltante
0001.jpg,"45,00",False,['Pagamento']
Comprovante_Light_Carioquinha_page-0001.jpg,"46.000,00",False,['Pagamento']
Comprovante_pagamento.jpg,"4.500,00",False,['Pagamento']
ComprovantedePix_page-0001.jpg,"23.483,49",True,[]
agendamento.jpg,"90,00",False,['Data' 'Pagamento']
agendamento_10.jpg,"250,00",False,['Pagamento']
agendamento_11.jpg,"100,00",False,['Pagamento']
agendamento_12.jpg,"257,18",False,['Pagamento']
agendamento_13.jpg,"42,80",False,['Pagamento']
agendamento_14.jpg,"664,06",False,['Pagamento']
agendamento_15.jpg,"90,00",False,['Pagamento']
agendamento_2.jpg,0,False,['Pagamento']
agendamento_3.jpg,"10,00",False,['Pagamento']
agendamento_4.jpg,"26,00",False,['Pagamento']
agendamento_5.jpg,"250,00",False,['Pagamento']
agendamento_6.jpg,"26,00",False,['Pagamento']
agendamento_7.jpg,"44,99",False,['Pagamento']
agendamento_8.jpg,"171,15",False,['Pagamento']
agendamento_9.jpg,"250,00",False,['Pagamento']
comprovante_itau.jpg,"4.000,00",True,[]
comprovante_santander.jpg,"2.156,42",True,[]
comprovante_santander_2_page-0001.jpg,"45,00",True,[]
documents_101169.jpg,"376,52",True,[]
pagament_89.jpg,"900,00",True,[]
pagament_90.jpg,"70,86",True,[]
pagament_92.jpg,"165,47",True,[]
pagamento.jpg,"35,92",True,[]
pagamento_10.jpg,"389,40",True,[]
pagamento_100.jpg,"96,97",True,[]
pagamento_101.jpg,"85,33",True,[]
pagamento_102.jpg,"313,14",True,[]
pagamento_103.jpg,"112,15",True,[]
pagamento_105.jpg,"160,00",True,[]
pagamento_107.jpg,"440,31",True,[]
pagamento_108.jpg,"9,15",True,[]
pagamento_109.jpg,"197,24",True,[]
pagamento_11.jpg,"54,99",False,['Pagamento']
pagamento_110.jpg,100.00,True,[]
pagamento_112.jpg,"22,46",True,[]
pagamento_12.jpg,"244,72",True,[]
pagamento_13.jpg,"80,00",True,[]
pagamento_14.jpg,"100,88",True,[]
pagamento_15.jpg,"78,03",True,[]
pagamento_16.jpg,"78,68",True,[]
pagamento_17.jpg,"103,56",True,[]
pagamento_18.jpg,"447,73",True,[]
pagamento_19.jpg,"2.500,00",True,[]
pagamento_2.jpg,"64,99",False,['Pagamento']
pagamento_20.jpg,"65,99",True,[]
pagamento_21.jpg,"251,95",True,[]
pagamento_22.jpg,"247,23",True,[]
pagamento_23.jpg,"298,21",True,[]
pagamento_24.jpg,"99,99",True,[]
pagamento_25.jpg,0,True,[]
pagamento_26.jpg,0,False,['Pagamento']
pagamento_27.jpg,"139,59",False,['Pagamento']
pagamento_28.jpg,"50,99",True,[]
pagamento_29.jpg,"174,61",True,[]
pagamento_3.jpg,"190,16",False,['Pagamento']
pagamento_30.jpg,0,True,[]
pagamento_32.jpg,"120,00",True,[]
pagamento_33.jpg,"599,00",False,['Pagamento']
pagamento_35.jpg,"1.870,17",False,['Pagamento']
pagamento_36.jpg,"20,00",False,['Pagamento']
pagamento_37.jpg,"159,97",True,[]
pagamento_38.jpg,"30,79",True,[]
pagamento_39.jpg,0,True,[]
pagamento_4.jpg,"44,34",False,['Pagamento']
pagamento_40.jpg,"1.852,14",True,[]
pagamento_41.jpg,"44,99",True,[]
pagamento_42.jpg,"50,00",False,['Pagamento']
pagamento_43.jpg,"51,03",False,['Pagamento']
pagamento_44.jpg,"20,90",False,['Pagamento']
pagamento_45.jpg,"621,80",False,['Pagamento']
pagamento_46.jpg,"200,00",True,[]
pagamento_47.jpg,"11,58",False,['Pagamento']
pagamento_48.jpg,"200,00",True,[]
pagamento_49.jpg,"2.000,00",True,[]
pagamento_5.jpg,"64,99",False,['Data' 'Pagamento']
pagamento_50.jpg,"1.000,00",True,[]
pagamento_51.jpg,"1.700,00",True,[]
pagamento_52.jpg,"30,44",False,['Pagamento']
pagamento_53.jpg,"99,90",False,['Data']
pagamento_54.jpg,"139,59",False,['Pagamento']
pagamento_55.jpg,"169,18",False,['Pagamento']
pagamento_56.jpg,"20,51",False,['Data']
pagamento_57.jpg,"158,00",True,[]
pagamento_58.jpg,"43,99",True,[]
pagamento_59.jpg,"5,00",True,[]
pagamento_6.jpg,"132,70",True,[]
pagamento_60.jpg,"58,00",True,[]
pagamento_61.jpg,"500,00",True,[]
pagamento_62.jpg,"56,00",True,[]
pagamento_63.jpg,"1.359,11",True,[]
pagamento_64.jpg,"75,00",True,[]
pagamento_65.jpg,"96,49",True,[]
pagamento_66.jpg,"79,97",True,[]
pagamento_67.jpg,"12,00",True,[]
pagamento_68.jpg,"175,83",True,[]
pagamento_69.jpg,"300,00",True,[]
pagamento_7.jpg,"11,00",True,[]
pagamento_70.jpg,"241,48",True,[]
pagamento_71.jpg,"591,79",True,[]
pagamento_72.jpg,"279,74",True,[]
pagamento_73.jpg,"330,20",True,[]
pagamento_74.jpg,"173,91",True,[]
pagamento_75.jpg,"807,87",True,[]
pagamento_76.jpg,"100,00",True,[]
pagamento_77.jpg,"171,15",True,[]
pagamento_78.jpg,"240,00",True,[]
pagamento_79.jpg,"170,00",True,[]
pagamento_8.jpg,"2.000,00",True,[]
pagamento_80.jpg,"99,90",False,['Pagamento']
pagamento_81.jpg,"1.470,63",True,[]
pagamento_82.jpg,"66,03",True,[]
pagamento_83.jpg,"22,86",True,[]
pagamento_84.jpg,"59,99",True,[]
pagamento_85.jpg,"156,70",True,[]
pagamento_86.jpg,"290,04",True,[]
pagamento_87.jpg,"13,01",False,['Pagamento']
pagamento_88.jpg,"357,00",True,[]
pagamento_9.jpg,"120,60",True,[]
pagamento_92.jpg,"352,23",False,['Pagamento']
pagamento_93_.jpg,"29,17",False,['Pagamento']
pagamento_94.jpg,"352,23",True,[]
pagamento_95.jpg,"122,31",True,[]
pagamento_96.jpg,"25,22",False,['Data']
pagamento_97.jpg,"99,90",True,[]
pagamento_98.jpg,100.00,False,['Pagamento']
pagamento_99.jpg,"99,90",False,['Pagamento']
pagamento_títulos.jpg,"90,00",False,['Pagamento']
pix_1.jpg,"130,00",True,[]
pix_10.jpg,"100,00",True,[]
pix_11.jpg,106.51,True,[]
